record_number,order_id,ordered_at,channel,status,quantity,unit_price,shipping_days,unit_price_cents,order_value_cents,channel_missing
47,F-0047,2026-08-06,Direct,pending,5,19.95,,1995,9975,False
48,F-0048,2026-08-06,Direct,paid,1,19.95,2.2,1995,1995,False
49,F-0049,2026-08-07,Direct,paid,1,19.95,4.4,1995,1995,False
50,F-0050,2026-08-07,Direct,paid,3,19.95,0.8,1995,5985,False
52,F-0052,2026-08-07,Partner,pending,3,12.50,,1250,3750,False
53,F-0053,2026-08-07,Direct,paid,4,29.00,2.0,2900,11600,False
54,F-0054,2026-08-07,Direct,paid,4,89.99,1.4,8999,35996,False
55,F-0055,2026-08-07,Direct,paid,5,19.95,1.7,1995,9975,False
56,F-0056,2026-08-07,Direct,paid,1,89.99,2.6,8999,8999,False
57,F-0057,2026-08-08,Direct,paid,2,12.50,1.9,1250,2500,False
58,F-0058,2026-08-08,Unknown,refunded,2,49.50,,4950,9900,True
59,F-0059,2026-08-08,Direct,paid,2,49.50,3.3,4950,9900,False
60,F-0060,2026-08-08,Direct,paid,1,12.50,0.5,1250,1250,False
61,F-0061,2026-08-08,Direct,paid,1,29.00,2.0,2900,2900,False
63,F-0063,2026-08-08,Direct,paid,5,49.50,3.0,4950,24750,False
64,F-0064,2026-08-08,Partner,pending,1,49.50,,4950,4950,False
65,F-0065,2026-08-09,Marketplace,paid,5,49.50,3.9,4950,24750,False
66,F-0066,2026-08-09,Direct,pending,5,89.99,,8999,44995,False
67,F-0067,2026-08-09,Direct,paid,2,19.95,1.4,1995,3990,False
68,F-0068,2026-08-09,Direct,paid,2,49.50,2.5,4950,9900,False
69,F-0069,2026-08-09,Direct,paid,4,89.99,1.1,8999,35996,False
70,F-0070,2026-08-09,Marketplace,paid,1,12.50,,1250,1250,False
71,F-0071,2026-08-09,Marketplace,paid,5,89.99,4.9,8999,44995,False
72,F-0072,2026-08-09,Direct,paid,2,49.50,3.4,4950,9900,False
74,F-0074,2026-08-10,Direct,paid,5,89.99,3.7,8999,44995,False
75,F-0075,2026-08-10,Marketplace,pending,1,29.00,,2900,2900,False
76,F-0076,2026-08-10,Marketplace,paid,4,19.95,2.8,1995,7980,False
77,F-0077,2026-08-10,Unknown,paid,4,89.99,5.2,8999,35996,True
78,F-0078,2026-08-10,Direct,paid,1,12.50,2.0,1250,1250,False
79,F-0079,2026-08-10,Direct,paid,4,12.50,3.4,1250,5000,False
80,F-0080,2026-08-10,Marketplace,paid,1,29.00,4.4,2900,2900,False
81,F-0081,2026-08-11,Direct,paid,3,89.99,2.7,8999,26997,False
82,F-0082,2026-08-11,Direct,paid,1,12.50,0.5,1250,1250,False
83,F-0083,2026-08-11,Direct,paid,4,89.99,4.0,8999,35996,False
84,F-0084,2026-08-11,Direct,paid,3,49.50,1.6,4950,14850,False
85,F-0085,2026-08-11,Direct,pending,1,29.00,,2900,2900,False
86,F-0086,2026-08-11,Marketplace,refunded,5,49.50,,4950,24750,False
87,F-0087,2026-08-11,Marketplace,paid,5,49.50,3.2,4950,24750,False
88,F-0088,2026-08-11,Direct,pending,4,19.95,,1995,7980,False
89,F-0089,2026-08-12,Direct,paid,1,89.99,2.4,8999,8999,False
90,F-0090,2026-08-12,Direct,pending,4,29.00,,2900,11600,False
91,F-0091,2026-08-12,Direct,paid,4,12.50,1.6,1250,5000,False
92,F-0092,2026-08-12,Marketplace,paid,1,89.99,3.7,8999,8999,False
93,F-0093,2026-08-12,Marketplace,paid,3,12.50,,1250,3750,False
94,F-0094,2026-08-12,Direct,paid,5,29.00,3.3,2900,14500,False
95,F-0095,2026-08-12,Direct,pending,1,12.50,,1250,1250,False
96,F-0096,2026-08-12,Unknown,paid,2,49.50,3.6,4950,9900,True
97,F-0097,2026-08-13,Direct,paid,1,89.99,2.5,8999,8999,False
98,F-0098,2026-08-13,Direct,refunded,5,19.95,,1995,9975,False
99,F-0099,2026-08-13,Marketplace,paid,5,49.50,1.7,4950,24750,False
100,F-0100,2026-08-13,Direct,paid,1,9999.00,3.5,999900,999900,False
101,F-0101,2026-08-13,Direct,refunded,4,89.99,,8999,35996,False
102,F-0102,2026-08-13,Marketplace,paid,1,12.50,4.9,1250,1250,False
103,F-0103,2026-08-13,Direct,paid,2,89.99,1.2,8999,17998,False
104,F-0104,2026-08-13,Partner,paid,5,19.95,4.4,1995,9975,False
105,F-0105,2026-08-14,Direct,paid,3,12.50,3.2,1250,3750,False
106,F-0106,2026-08-14,Marketplace,pending,1,49.50,,4950,4950,False
107,F-0107,2026-08-14,Direct,refunded,1,12.50,,1250,1250,False
108,F-0108,2026-08-14,Marketplace,paid,5,19.95,4.7,1995,9975,False
109,F-0109,2026-08-14,Direct,paid,5,19.95,3.7,1995,9975,False
110,F-0110,2026-08-14,Partner,paid,5,12.50,3.2,1250,6250,False
111,F-0111,2026-08-14,Direct,paid,3,89.99,1.4,8999,26997,False
112,F-0112,2026-08-14,Direct,paid,2,49.50,2.7,4950,9900,False
113,F-0113,2026-08-15,Direct,paid,4,49.50,1.8,4950,19800,False
114,F-0114,2026-08-15,Direct,pending,5,29.00,,2900,14500,False
115,F-0115,2026-08-15,Unknown,paid,4,49.50,3.7,4950,19800,True
116,F-0116,2026-08-15,Direct,paid,4,29.00,,2900,11600,False
117,F-0117,2026-08-15,Direct,paid,1,19.95,2.6,1995,1995,False
118,F-0118,2026-08-15,Direct,pending,5,29.00,,2900,14500,False
119,F-0119,2026-08-15,Direct,paid,1,29.00,1.8,2900,2900,False
120,F-0120,2026-08-15,Direct,paid,4,19.95,3.0,1995,7980,False
121,F-0121,2026-08-16,Direct,paid,4,19.95,0.9,1995,7980,False
122,F-0122,2026-08-16,Direct,paid,5,89.99,1.5,8999,44995,False
123,F-0123,2026-08-16,Marketplace,paid,4,89.99,3.6,8999,35996,False
124,F-0124,2026-08-16,Direct,pending,1,49.50,,4950,4950,False
125,F-0125,2026-08-16,Marketplace,paid,5,29.00,3.2,2900,14500,False
126,F-0126,2026-08-16,Direct,paid,5,12.50,1.3,1250,6250,False
127,F-0127,2026-08-16,Direct,paid,5,29.00,2.1,2900,14500,False
128,F-0128,2026-08-16,Marketplace,pending,3,12.50,,1250,3750,False
129,F-0129,2026-08-17,Direct,refunded,5,49.50,,4950,24750,False
130,F-0130,2026-08-17,Marketplace,paid,4,12.50,4.7,1250,5000,False
131,F-0131,2026-08-17,Direct,paid,1,19.95,2.9,1995,1995,False
132,F-0132,2026-08-17,Direct,paid,1,29.00,2.5,2900,2900,False
133,F-0133,2026-08-17,Direct,pending,4,29.00,,2900,11600,False
134,F-0134,2026-08-17,Unknown,paid,3,12.50,3.3,1250,3750,True
135,F-0135,2026-08-17,Partner,paid,5,29.00,4.5,2900,14500,False
136,F-0136,2026-08-17,Partner,paid,2,19.95,2.8,1995,3990,False
137,F-0137,2026-08-18,Marketplace,refunded,4,29.00,,2900,11600,False
138,F-0138,2026-08-18,Marketplace,paid,5,19.95,4.1,1995,9975,False
139,F-0139,2026-08-18,Direct,paid,3,89.99,,8999,26997,False
140,F-0140,2026-08-18,Marketplace,pending,2,49.50,,4950,9900,False
141,F-0141,2026-08-18,Partner,paid,1,89.99,4.0,8999,8999,False
142,F-0142,2026-08-18,Marketplace,paid,5,89.99,5.5,8999,44995,False
143,F-0143,2026-08-18,Direct,paid,4,19.95,0.6,1995,7980,False
144,F-0144,2026-08-18,Marketplace,paid,1,19.95,4.0,1995,1995,False
145,F-0145,2026-08-19,Partner,paid,3,89.99,3.0,8999,26997,False
146,F-0146,2026-08-19,Marketplace,paid,5,12.50,3.6,1250,6250,False
147,F-0147,2026-08-19,Direct,paid,5,12.50,2.7,1250,6250,False
148,F-0148,2026-08-19,Direct,pending,4,19.95,,1995,7980,False
149,F-0149,2026-08-19,Marketplace,paid,5,19.95,4.3,1995,9975,False
150,F-0150,2026-08-19,Partner,paid,5,29.00,2.1,2900,14500,False
151,F-0151,2026-08-19,Marketplace,paid,2,89.99,3.7,8999,17998,False
152,F-0152,2026-08-19,Direct,paid,2,19.95,2.3,1995,3990,False
153,F-0153,2026-08-20,Unknown,paid,1,19.95,2.7,1995,1995,True
154,F-0154,2026-08-20,Direct,paid,1,12.50,2.6,1250,1250,False
155,F-0155,2026-08-20,Marketplace,paid,1,19.95,3.5,1995,1995,False
156,F-0156,2026-08-20,Marketplace,refunded,4,12.50,,1250,5000,False
157,F-0157,2026-08-20,Marketplace,pending,5,89.99,,8999,44995,False
158,F-0158,2026-08-20,Direct,paid,2,19.95,1.7,1995,3990,False
159,F-0159,2026-08-20,Direct,paid,5,89.99,1.6,8999,44995,False
160,F-0160,2026-08-20,Direct,paid,5,29.00,2.7,2900,14500,False
161,F-0161,2026-08-21,Marketplace,paid,5,12.50,5.0,1250,6250,False
162,F-0162,2026-08-21,Direct,paid,1,29.00,,2900,2900,False
163,F-0163,2026-08-21,Direct,paid,2,12.50,2.6,1250,2500,False
164,F-0164,2026-08-21,Direct,pending,1,49.50,,4950,4950,False
165,F-0165,2026-08-21,Direct,pending,5,19.95,,1995,9975,False
166,F-0166,2026-08-21,Marketplace,paid,5,29.00,3.5,2900,14500,False
167,F-0167,2026-08-21,Direct,paid,4,12.50,1.4,1250,5000,False
168,F-0168,2026-08-21,Marketplace,refunded,3,49.50,,4950,14850,False
169,F-0169,2026-08-22,Direct,paid,3,12.50,3.2,1250,3750,False
170,F-0170,2026-08-22,Direct,paid,3,49.50,3.4,4950,14850,False
171,F-0171,2026-08-22,Marketplace,paid,2,12.50,5.6,1250,2500,False
172,F-0172,2026-08-22,Unknown,paid,4,19.95,2.8,1995,7980,True
173,F-0173,2026-08-22,Marketplace,paid,1,89.99,3.2,8999,8999,False
174,F-0174,2026-08-22,Direct,paid,4,49.50,2.4,4950,19800,False
175,F-0175,2026-08-22,Partner,paid,4,89.99,5.3,8999,35996,False
176,F-0176,2026-08-22,Direct,paid,4,89.99,4.2,8999,35996,False
177,F-0177,2026-08-23,Marketplace,paid,2,49.50,4.0,4950,9900,False
178,F-0178,2026-08-23,Direct,paid,3,19.95,3.5,1995,5985,False
179,F-0179,2026-08-23,Direct,paid,3,29.00,3.0,2900,8700,False
180,F-0180,2026-08-23,Direct,paid,2,19.95,1.9,1995,3990,False
181,F-0181,2026-08-23,Direct,paid,1,12.50,2.1,1250,1250,False
182,F-0182,2026-08-23,Marketplace,paid,2,29.00,3.9,2900,5800,False
183,F-0183,2026-08-23,Direct,paid,3,29.00,2.1,2900,8700,False
184,F-0184,2026-08-23,Marketplace,pending,2,19.95,,1995,3990,False
185,F-0185,2026-08-24,Marketplace,paid,1,29.00,,2900,2900,False
186,F-0186,2026-08-24,Direct,paid,4,19.95,1.9,1995,7980,False
187,F-0187,2026-08-24,Marketplace,pending,2,19.95,,1995,3990,False
188,F-0188,2026-08-24,Marketplace,pending,4,29.00,,2900,11600,False
189,F-0189,2026-08-24,Direct,paid,4,19.95,2.8,1995,7980,False
190,F-0190,2026-08-24,Direct,paid,4,12.50,3.4,1250,5000,False
191,F-0191,2026-08-24,Unknown,paid,2,12.50,3.0,1250,2500,True
192,F-0192,2026-08-24,Direct,paid,3,89.99,4.0,8999,26997,False
193,F-0193,2026-08-25,Direct,paid,3,29.00,2.6,2900,8700,False
194,F-0194,2026-08-25,Direct,paid,1,29.00,3.0,2900,2900,False
195,F-0195,2026-08-25,Direct,paid,3,29.00,1.3,2900,8700,False
196,F-0196,2026-08-25,Partner,paid,3,12.50,1.7,1250,3750,False
197,F-0197,2026-08-25,Marketplace,paid,2,29.00,4.6,2900,5800,False
198,F-0198,2026-08-25,Direct,pending,2,29.00,,2900,5800,False
199,F-0199,2026-08-25,Direct,paid,1,49.50,2.0,4950,4950,False
200,F-0200,2026-08-25,Direct,pending,3,49.50,,4950,14850,False
201,F-0201,2026-08-26,Marketplace,paid,4,19.95,4.9,1995,7980,False
202,F-0202,2026-08-26,Marketplace,paid,2,12.50,5.1,1250,2500,False
203,F-0203,2026-08-26,Partner,paid,1,19.95,2.6,1995,1995,False
204,F-0204,2026-08-26,Direct,pending,3,29.00,,2900,8700,False
205,F-0205,2026-08-26,Direct,paid,1,89.99,1.9,8999,8999,False
206,F-0206,2026-08-26,Direct,refunded,2,12.50,,1250,2500,False
207,F-0207,2026-08-26,Marketplace,paid,3,12.50,1.7,1250,3750,False
208,F-0208,2026-08-26,Partner,paid,1,29.00,,2900,2900,False
209,F-0209,2026-08-27,Marketplace,paid,1,29.00,3.6,2900,2900,False
210,F-0210,2026-08-27,Unknown,refunded,2,19.95,,1995,3990,True
211,F-0211,2026-08-27,Direct,paid,5,89.99,2.3,8999,44995,False
212,F-0212,2026-08-27,Direct,paid,3,12.50,1.1,1250,3750,False
213,F-0213,2026-08-27,Direct,pending,2,89.99,,8999,17998,False
214,F-0214,2026-08-27,Partner,paid,4,19.95,3.0,1995,7980,False
215,F-0215,2026-08-27,Marketplace,paid,2,89.99,3.6,8999,17998,False
216,F-0216,2026-08-27,Marketplace,refunded,3,12.50,,1250,3750,False
217,F-0217,2026-08-28,Direct,paid,5,29.00,5.4,2900,14500,False
218,F-0218,2026-08-28,Partner,paid,2,29.00,3.7,2900,5800,False
219,F-0219,2026-08-28,Direct,paid,5,49.50,3.0,4950,24750,False
220,F-0220,2026-08-28,Partner,paid,4,49.50,4.0,4950,19800,False
221,F-0221,2026-08-28,Marketplace,pending,2,89.99,,8999,17998,False
222,F-0222,2026-08-28,Direct,paid,2,12.50,2.4,1250,2500,False
223,F-0223,2026-08-28,Marketplace,paid,1,12.50,5.7,1250,1250,False
224,F-0224,2026-08-28,Marketplace,paid,4,12.50,4.9,1250,5000,False
225,F-0225,2026-08-29,Direct,pending,5,12.50,,1250,6250,False
226,F-0226,2026-08-29,Direct,paid,5,89.99,1.5,8999,44995,False
227,F-0227,2026-08-29,Marketplace,paid,4,89.99,4.8,8999,35996,False
228,F-0228,2026-08-29,Marketplace,paid,1,12.50,6.2,1250,1250,False
229,F-0229,2026-08-29,Unknown,paid,4,29.00,1.7,2900,11600,True
230,F-0230,2026-08-29,Direct,pending,3,49.50,,4950,14850,False
231,F-0231,2026-08-29,Direct,paid,5,19.95,,1995,9975,False
232,F-0232,2026-08-29,Direct,refunded,3,89.99,,8999,26997,False
233,F-0233,2026-08-30,Direct,paid,4,29.00,4.5,2900,11600,False
234,F-0234,2026-08-30,Partner,paid,2,29.00,3.5,2900,5800,False
235,F-0235,2026-08-30,Direct,paid,5,12.50,2.3,1250,6250,False
236,F-0236,2026-08-30,Direct,paid,1,19.95,3.4,1995,1995,False
237,F-0237,2026-08-30,Direct,paid,4,12.50,2.4,1250,5000,False
238,F-0238,2026-08-30,Direct,pending,2,29.00,,2900,5800,False
239,F-0239,2026-08-30,Direct,paid,4,29.00,1.7,2900,11600,False
240,F-0240,2026-08-30,Direct,refunded,5,29.00,,2900,14500,False
