order_id,ordered_at,channel,status,quantity,unit_price,shipping_days
F-0185,2026-08-24,Marketplace,paid,1,29.00,
F-0186,2026-08-24,Direct,paid,4,19.95,1.9
F-0187,2026-08-24,Marketplace,pending,2,19.95,
F-0188,2026-08-24, marketplace ,pending,4,29.00,
F-0189,2026-08-24,Direct,paid,4,19.95,2.8
F-0190,2026-08-24,Direct,paid,4,12.50,3.4
F-0191,2026-08-24,,paid,2,12.50,3.0
F-0192,2026-08-24,Direct,paid,3,89.99,4.0
F-0193,2026-08-25,Direct,paid,3,29.00,2.6
F-0194,2026-08-25,Direct,paid,1,29.00,3.0
F-0195,2026-08-25,Direct,paid,3,29.00,1.3
F-0196,2026-08-25,Partner, PAID ,3,12.50,1.7
F-0197,2026-08-25,Marketplace,paid,2,29.00,4.6
F-0198,2026-08-25,Direct,pending,2,29.00,
F-0199,2026-08-25, direct ,paid,1,49.50,2.0
F-0200,2026-08-25,Direct,pending,3,49.50,
F-0201,2026-08-26,Marketplace,paid,4,19.95,4.9
F-0202,2026-08-26,Marketplace,paid,2,12.50,5.1
F-0203,2026-08-26,Partner,paid,1,19.95,2.6
F-0204,2026-08-26,Direct,pending,3,29.00,
F-0205,2026-08-26,Direct,paid,1,89.99,1.9
F-0206,2026-08-26,Direct,refunded,2,12.50,
F-0207,2026-08-26,Marketplace,paid,3,12.50,1.7
F-0208,2026-08-26,Partner,paid,1,29.00,
F-0209,2026-08-27,Marketplace, PAID ,1,29.00,3.6
F-0210,2026-08-27,,refunded,2,19.95,
F-0211,2026-08-27,Direct,paid,5,89.99,2.3
F-0212,2026-08-27,Direct,paid,3,12.50,1.1
F-0213,2026-08-27,Direct,pending,2,89.99,
F-0214,2026-08-27,Partner,paid,4,19.95,3.0
F-0215,2026-08-27,Marketplace,paid,2,89.99,3.6
F-0216,2026-08-27,Marketplace,refunded,3,12.50,
F-0217,2026-08-28,Direct,paid,5,29.00,5.4
F-0218,2026-08-28,Partner,paid,2,29.00,3.7
F-0219,2026-08-28,Direct,paid,5,49.50,3.0
F-0220,2026-08-28,Partner,paid,4,49.50,4.0
F-0221,2026-08-28, marketplace ,pending,2,89.99,
F-0222,2026-08-28,Direct, PAID ,2,12.50,2.4
F-0223,2026-08-28,Marketplace,paid,1,12.50,5.7
F-0224,2026-08-28,Marketplace,paid,4,12.50,4.9
F-0225,2026-08-29,Direct,pending,5,12.50,
F-0226,2026-08-29,Direct,paid,5,89.99,1.5
F-0227,2026-08-29,Marketplace,paid,4,89.99,4.8
F-0228,2026-08-29,Marketplace,paid,1,12.50,6.2
F-0229,2026-08-29,,paid,4,29.00,1.7
F-0230,2026-08-29,Direct,pending,3,49.50,
F-0231,2026-08-29,Direct,paid,5,19.95,
F-0232,2026-08-29, direct ,refunded,3,89.99,
F-0233,2026-08-30,Direct,paid,4,29.00,4.5
F-0234,2026-08-30,Partner,paid,2,29.00,3.5
F-0235,2026-08-30,Direct, PAID ,5,12.50,2.3
F-0236,2026-08-30,Direct,paid,1,19.95,3.4
F-0237,2026-08-30,Direct,paid,4,12.50,2.4
F-0238,2026-08-30,Direct,pending,2,29.00,
F-0239,2026-08-30,Direct,paid,4,29.00,1.7
F-0240,2026-08-30,Direct,refunded,5,29.00,
F-0006,2026-08-01,Direct,paid,2,19.95,2.9
F-0021,2026-08-03,Direct,paid,1,49.50,4.4
F-0036,2026-08-05,Marketplace,pending,4,49.50,
